"statArea","year","month","week","weeklyCatch","weeklyEffort"
"123",2007,1,1,0,0
"123",2007,1,2,9,2
"123",2007,1,3,31,2
"123",2007,1,4,4,1
"123",2007,1,5,99,5
"123",2007,2,5,131,10
"123",2007,2,6,120,11
"123",2007,2,7,22,2
"123",2007,2,8,12,1
"123",2007,2,9,12,2
"123",2007,3,9,30,7
"123",2007,3,10,50,4
"123",2007,4,16,1379,106
"123",2007,4,17,904,73
"123",2007,4,18,258,18
"123",2007,5,18,1699,106
"123",2007,5,19,1689,105
"123",2007,5,20,5267,195
"123",2007,5,21,6442,182
"123",2007,5,22,1948,75
"123",2007,6,22,1354,74
"123",2007,6,23,3746,116
"123",2007,6,24,908,21
"123",2007,6,25,3568,99
"123",2007,9,38,4901,159
"123",2007,10,42,758,26
"123",2007,10,43,1302,41
"123",2008,1,3,75,13
"123",2008,1,4,96,10
"123",2008,1,5,6,1
"123",2008,2,5,55,3
"123",2008,2,6,51,6
"123",2008,2,7,199,16
"123",2008,2,8,44,4
"123",2008,2,9,24,4
"123",2008,3,9,7,1
"123",2008,5,19,990,56
"123",2008,5,20,963,100
"123",2008,5,21,1014,65
"123",2008,5,22,2297,106
"123",2008,6,22,998,51
"123",2008,6,23,2320,94
"123",2008,6,24,9376,230
"123",2008,8,31,6486,93
"123",2008,8,32,1939,46
"123",2008,9,36,28437,358
"123",2008,9,37,4530,78
"123",2008,9,39,7903,131
"123",2008,10,42,1229,30
"123",2008,10,43,0,0
"123",2008,11,45,14,3
"123",2008,11,46,131,6
"123",2008,11,47,33,1
"123",2008,12,49,33,5
"123",2009,1,1,0,0
"123",2009,1,2,10,3
"123",2009,1,3,50,7
"123",2009,1,4,53,10
"123",2009,1,5,0,0
"123",2009,2,5,18,3
"123",2009,2,6,66,14
"123",2009,2,7,38,11
"123",2009,2,8,37,8
"123",2009,2,9,12,3
"123",2009,3,9,0,0
"123",2009,5,19,2794,131
"123",2009,5,20,9625,239
"123",2009,5,21,1784,68
"123",2009,8,32,6182,106
"123",2009,9,37,470,5
"123",2010,5,19,3203,141
"123",2010,5,20,7188,182
"123",2010,5,21,2412,51
"123",2010,6,22,4204,47
"123",2010,6,23,9419,177
"123",2010,8,31,7938,133
"123",2010,9,36,415,4
"123",2010,9,37,0,0
"123",2010,9,39,1106,41
"123",2010,10,40,483,18
"123",2011,1,1,0,0
"123",2011,2,8,1,5
"123",2011,2,9,124,6
"123",2011,3,9,4,1
"123",2011,5,19,3817,102
"123",2011,5,20,4789,134
"123",2011,6,23,19003,264
"123",2011,6,24,3450,42
"123",2011,8,31,13013,131
"123",2011,9,35,114,1
"123",2011,9,36,448,3
"123",2011,11,46,4,5
"123",2011,11,47,0,1
"123",2011,11,48,0,0
"123",2011,12,48,0,0
"123",2011,12,49,26,4
"123",2011,12,50,8,2
"123",2011,12,51,0,0
"123",2011,12,52,0,0
"123",2011,12,53,0,0
"123",2012,1,1,0,0
"123",2012,1,2,2,2
"123",2012,1,3,2,1
"123",2012,1,4,0,0
"123",2012,1,5,0,0
"123",2012,2,5,0,0
"123",2012,2,6,51,4
"123",2012,2,7,37,4
"123",2012,2,8,0,0
"123",2012,2,9,0,0
"123",2012,3,9,0,0
"123",2012,5,19,290,25
"123",2012,5,20,1342,84
"123",2012,8,32,3473,33
"123",2012,9,36,0,3
"123",2012,9,37,0,1
"123",2012,9,38,5498,109
"123",2012,9,39,5980,90
"123",2012,9,40,977,11
"123",2012,10,40,688,10
"123",2012,10,41,3192,33
"123",2012,11,47,0,0
"123",2012,11,48,31,5
"123",2012,12,48,0,0
"123",2012,12,49,42,3
"123",2012,12,50,20,4
"123",2012,12,51,0,0
"123",2012,12,52,0,0
"123",2012,12,53,0,0
"123",2013,1,1,0,0
"123",2013,1,2,8,2
"123",2013,1,3,17,4
"123",2013,1,4,0,0
"123",2013,1,5,0,0
"123",2013,2,5,0,3
"123",2013,2,6,6,3
"123",2013,2,7,0,1
"123",2013,2,8,0,0
"123",2013,2,9,0,0
"123",2013,3,9,0,0
"123",2013,5,19,12522,220
"123",2013,5,20,7997,92
"123",2013,10,40,0,0
"123",2013,10,41,2310,45
"123",2013,11,45,5,2
"123",2013,11,46,0,0
"123",2013,11,47,23,5
"123",2013,11,48,0,0
"123",2013,12,48,0,0
"123",2013,12,49,5,1
"123",2013,12,50,0,0
"123",2013,12,51,0,0
"123",2013,12,52,0,0
"123",2013,12,53,0,0
"123",2014,1,1,0,0
"123",2014,1,2,0,0
"123",2014,1,3,0,0
"123",2014,1,4,0,0
"123",2014,1,5,0,0
"123",2014,2,5,15,2
"123",2014,2,6,36,2
"123",2014,2,7,0,0
"123",2014,2,8,33,2
"123",2014,2,9,56,2
"123",2014,3,9,17,1
"123",2014,5,19,1041,66
"123",2014,5,20,346,13
"123",2014,5,21,779,24
"123",2014,5,22,520,19
"123",2014,8,31,389,27
"123",2014,8,32,173,9
"123",2014,9,37,1483,32
"123",2014,9,38,8640,160
"123",2014,9,39,1849,60
"123",2014,10,40,346,34
"123",2014,10,41,104,20
"123",2014,10,42,0,0
"123",2014,10,43,0,0
"123",2014,10,44,0,0
"123",2014,11,44,0,0
"123",2014,11,45,0,0
"123",2014,11,46,0,0
"123",2014,11,47,18,2
"123",2014,11,48,0,0
"123",2014,12,48,0,0
"123",2014,12,49,0,0
"123",2014,12,50,0,0
"123",2014,12,51,0,0
"123",2014,12,52,0,0
"123",2014,12,53,0,0
"123",2015,1,1,0,0
"123",2015,1,2,0,0
"123",2015,1,3,0,0
"123",2015,1,4,0,0
"123",2015,1,5,0,0
"123",2015,2,5,0,0
"123",2015,2,6,28,3
"123",2015,2,7,40,4
"123",2015,2,8,98,3
"123",2015,2,9,105,7
"123",2015,3,9,25,2
"123",2015,5,20,63,11
"123",2015,5,21,410,32
"123",2015,5,22,83,11
"123",2015,6,22,2,1
"123",2015,8,32,1401,28
"123",2015,9,37,64,5
"123",2015,9,38,1899,60
"123",2015,9,39,3235,91
"123",2015,10,40,1160,19
"123",2015,11,44,0,0
"123",2015,11,45,13,2
"123",2015,11,46,0,0
"123",2015,11,47,0,0
"123",2015,11,48,0,0
"123",2015,12,48,0,0
"123",2015,12,49,0,0
"123",2015,12,50,0,0
"123",2015,12,51,0,0
"123",2015,12,52,0,0
"123",2015,12,53,0,0
"124",2007,1,1,0,0
"124",2007,1,2,10,1
"124",2007,1,3,0,1
"124",2007,1,4,55,4
"124",2007,1,5,65,5
"124",2007,2,5,56,4
"124",2007,2,6,114,7
"124",2007,2,7,20,2
"124",2007,2,8,16,3
"124",2007,2,9,0,0
"124",2007,3,9,0,0
"124",2007,3,10,171,4
"124",2007,4,16,50,12
"124",2007,4,17,0,0
"124",2007,4,18,0,0
"124",2007,5,18,11,2
"124",2007,5,19,63,7
"124",2007,5,20,111,12
"124",2007,5,21,387,17
"124",2007,5,22,878,44
"124",2007,6,22,477,24
"124",2007,6,23,1583,48
"124",2007,6,24,278,9
"124",2007,6,25,1176,48
"124",2007,9,38,35,3
"124",2007,10,42,5,2
"124",2007,10,43,0,0
"124",2008,1,3,5,2
"124",2008,1,4,79,8
"124",2008,1,5,5,1
"124",2008,2,5,1,1
"124",2008,2,6,56,2
"124",2008,2,7,108,13
"124",2008,2,8,37,4
"124",2008,2,9,51,7
"124",2008,3,9,6,1
"124",2008,5,18,112,19
"124",2008,5,19,136,21
"124",2008,5,20,309,38
"124",2008,5,21,761,42
"124",2008,5,22,745,60
"124",2008,6,22,380,25
"124",2008,6,23,297,28
"124",2008,6,24,57,4
"124",2008,8,31,153,4
"124",2008,8,32,12,1
"124",2008,9,36,268,5
"124",2008,9,37,16,1
"124",2008,9,39,361,14
"124",2008,10,42,36,3
"124",2008,10,43,0,0
"124",2008,11,45,6,1
"124",2008,11,46,0,0
"124",2008,11,47,0,0
"124",2008,12,49,12,1
"124",2009,1,1,8,1
"124",2009,1,2,23,3
"124",2009,1,3,2,2
"124",2009,1,4,4,3
"124",2009,1,5,0,0
"124",2009,2,5,0,0
"124",2009,2,6,4,3
"124",2009,2,7,22,8
"124",2009,2,8,0,0
"124",2009,2,9,0,0
"124",2009,3,9,0,0
"124",2009,5,18,6,4
"124",2009,5,19,42,8
"124",2009,5,20,325,14
"124",2009,5,21,340,17
"124",2009,6,22,2826,52
"124",2009,6,23,5466,280
"124",2009,8,32,1250,31
"124",2010,5,18,532,40
"124",2010,5,19,336,26
"124",2010,5,20,353,17
"124",2010,5,21,211,9
"124",2010,6,22,1346,15
"124",2010,6,23,3488,65
"124",2010,8,31,1130,20
"124",2010,9,39,0,0
"124",2010,10,40,99,2
"124",2011,1,1,0,0
"124",2011,2,8,82,10
"124",2011,2,9,48,5
"124",2011,3,9,14,2
"124",2011,5,18,3644,142
"124",2011,5,19,1039,45
"124",2011,5,20,1739,67
"124",2011,6,23,453,23
"124",2011,6,24,200,7
"124",2011,8,31,2200,39
"124",2011,11,46,0,0
"124",2011,11,47,0,0
"124",2011,11,48,0,0
"124",2011,12,48,0,0
"124",2011,12,49,0,0
"124",2011,12,50,0,0
"124",2011,12,51,0,0
"124",2011,12,52,0,0
"124",2011,12,53,0,0
"124",2012,1,1,0,0
"124",2012,1,2,0,0
"124",2012,1,3,0,0
"124",2012,1,4,0,0
"124",2012,1,5,0,0
"124",2012,2,5,0,0
"124",2012,2,6,0,0
"124",2012,2,7,0,0
"124",2012,2,8,0,0
"124",2012,2,9,0,0
"124",2012,3,9,0,0
"124",2012,5,18,258,34
"124",2012,5,19,46,9
"124",2012,5,20,121,11
"124",2012,8,32,20,2
"124",2012,9,38,0,0
"124",2012,9,39,0,0
"124",2012,9,40,0,0
"124",2012,10,40,0,0
"124",2012,10,41,0,0
"124",2012,11,47,0,0
"124",2012,11,48,0,0
"124",2012,12,48,0,0
"124",2012,12,49,0,0
"124",2012,12,50,0,0
"124",2012,12,51,0,0
"124",2012,12,52,0,0
"124",2012,12,53,0,0
"124",2013,1,1,0,0
"124",2013,1,2,0,0
"124",2013,1,3,0,0
"124",2013,1,4,0,0
"124",2013,1,5,0,0
"124",2013,2,5,0,0
"124",2013,2,6,0,0
"124",2013,2,7,0,0
"124",2013,2,8,0,0
"124",2013,2,9,0,0
"124",2013,3,9,0,0
"124",2013,5,18,1065,106
"124",2013,5,19,580,35
"124",2013,5,20,638,19
"124",2013,10,40,0,0
"124",2013,10,41,48,2
"124",2013,11,45,0,0
"124",2013,11,46,0,0
"124",2013,11,47,0,0
"124",2013,11,48,0,0
"124",2013,12,48,0,0
"124",2013,12,49,2,2
"124",2013,12,50,1,1
"124",2013,12,51,0,0
"124",2013,12,52,0,0
"124",2013,12,53,0,0
"124",2014,1,1,0,0
"124",2014,1,2,0,0
"124",2014,1,3,0,0
"124",2014,1,4,0,0
"124",2014,1,5,0,0
"124",2014,2,5,0,0
"124",2014,2,6,0,0
"124",2014,2,7,0,0
"124",2014,2,8,0,0
"124",2014,2,9,0,0
"124",2014,3,9,0,0
"124",2014,5,18,15,7
"124",2014,5,19,77,9
"124",2014,5,20,76,4
"124",2014,5,21,64,3
"124",2014,5,22,29,3
"124",2014,8,31,15,2
"124",2014,8,32,54,4
"124",2014,9,37,31,2
"124",2014,9,38,36,2
"124",2014,9,39,0,0
"124",2014,10,40,0,0
"124",2014,10,41,0,0
"124",2014,10,42,0,0
"124",2014,10,43,0,0
"124",2014,10,44,0,0
"124",2014,11,44,0,0
"124",2014,11,45,0,0
"124",2014,11,46,0,0
"124",2014,11,47,0,0
"124",2014,11,48,0,0
"124",2014,12,48,0,0
"124",2014,12,49,0,0
"124",2014,12,50,0,0
"124",2014,12,51,0,0
"124",2014,12,52,0,0
"124",2014,12,53,0,0
"124",2015,1,1,0,0
"124",2015,1,2,0,0
"124",2015,1,3,0,0
"124",2015,1,4,0,0
"124",2015,1,5,0,0
"124",2015,2,5,0,0
"124",2015,2,6,0,0
"124",2015,2,7,0,0
"124",2015,2,8,0,0
"124",2015,2,9,0,0
"124",2015,3,9,0,0
"124",2015,5,18,496,39
"124",2015,5,19,896,69
"124",2015,5,20,600,65
"124",2015,5,21,797,53
"124",2015,5,22,591,44
"124",2015,6,22,127,12
"124",2015,8,32,0,0
"124",2015,9,37,0,1
"124",2015,9,38,0,0
"124",2015,9,39,0,0
"124",2015,10,40,38,2
"124",2015,10,41,0,0
"124",2015,10,42,0,0
"124",2015,10,43,0,0
"124",2015,10,44,0,0
"124",2015,11,44,0,0
"124",2015,11,45,0,0
"124",2015,11,46,0,0
"124",2015,11,47,0,0
"124",2015,11,48,0,0
"124",2015,12,48,0,0
"124",2015,12,49,0,0
"124",2015,12,50,0,0
"124",2015,12,51,0,0
"124",2015,12,52,0,0
"124",2015,12,53,0,0
"125",2007,1,1,0,0
"125",2007,1,2,0,0
"125",2007,1,3,122,5
"125",2007,1,4,29,4
"125",2007,1,5,0,0
"125",2007,2,5,0,0
"125",2007,2,6,11,1
"125",2007,2,7,3,1
"125",2007,2,8,0,0
"125",2007,2,9,0,0
"125",2007,3,9,0,0
"125",2007,3,10,17,2
"125",2007,3,11,14,2
"125",2007,3,12,33,3
"125",2007,3,13,86,7
"125",2007,4,13,5,1
"125",2007,4,14,0,0
"125",2007,4,15,2,1
"125",2007,4,16,5,1
"125",2007,4,17,6,3
"125",2007,4,18,0,0
"125",2007,5,18,2,1
"125",2007,5,19,47,5
"125",2007,5,20,0,0
"125",2007,5,21,117,9
"125",2007,5,22,195,9
"125",2007,6,22,248,10
"125",2007,6,23,757,31
"125",2007,6,24,27,2
"125",2007,6,25,3511,78
"125",2007,9,38,71,10
"125",2007,9,39,75,9
"125",2007,10,42,33,4
"125",2007,10,43,551,13
"125",2008,1,3,73,10
"125",2008,1,4,6,2
"125",2008,1,5,17,2
"125",2008,2,5,10,2
"125",2008,2,6,3,1
"125",2008,2,7,9,2
"125",2008,2,8,0,0
"125",2008,2,9,6,2
"125",2008,3,9,0,0
"125",2008,4,16,41,11
"125",2008,4,17,194,36
"125",2008,4,18,25,4
"125",2008,5,18,17,6
"125",2008,5,19,42,8
"125",2008,5,20,33,7
"125",2008,5,21,31,5
"125",2008,5,22,20,3
"125",2008,6,22,0,0
"125",2008,6,23,0,0
"125",2008,6,24,3,1
"125",2008,8,31,51,2
"125",2008,8,32,0,1
"125",2008,9,36,104,5
"125",2008,9,37,545,13
"125",2008,9,39,7,1
"125",2008,10,42,42,2
"125",2008,10,43,0,0
"125",2008,11,45,47,2
"125",2008,11,46,0,0
"125",2008,11,47,0,0
"125",2008,12,49,22,1
"125",2009,1,1,0,0
"125",2009,1,2,17,4
"125",2009,1,3,2,1
"125",2009,1,4,0,0
"125",2009,1,5,14,2
"125",2009,2,5,23,4
"125",2009,2,6,17,4
"125",2009,2,7,37,5
"125",2009,2,8,0,0
"125",2009,2,9,8,3
"125",2009,3,9,0,0
"125",2009,3,10,2,2
"125",2009,3,11,13,2
"125",2009,4,16,1,1
"125",2009,4,17,17,2
"125",2009,4,18,0,0
"125",2009,5,18,0,0
"125",2009,5,19,69,5
"125",2009,5,20,7,1
"125",2009,5,21,0,0
"125",2009,6,22,0,0
"125",2009,6,23,44,3
"125",2009,8,32,41,4
"125",2010,4,16,101,6
"125",2010,4,17,340,14
"125",2010,4,18,87,1
"125",2010,5,18,121,2
"125",2010,5,19,617,14
"125",2010,5,20,0,0
"125",2010,5,21,0,0
"125",2010,6,22,0,0
"125",2010,6,23,0,0
"125",2010,8,31,138,3
"125",2010,9,39,0,0
"125",2010,10,40,0,0
"125",2011,1,1,0,0
"125",2011,2,8,17,3
"125",2011,2,9,3,1
"125",2011,3,9,0,0
"125",2011,3,10,18,3
"125",2011,3,11,0,0
"125",2011,4,16,418,10
"125",2011,4,17,166,6
"125",2011,5,18,91,1
"125",2011,5,19,40,1
"125",2011,5,20,3,1
"125",2011,6,23,0,0
"125",2011,6,24,0,0
"125",2011,7,30,4240,113
"125",2011,8,31,0,0
"125",2011,11,46,0,2
"125",2011,11,47,0,0
"125",2011,11,48,0,0
"125",2011,12,48,0,0
"125",2011,12,49,0,0
"125",2011,12,50,0,0
"125",2011,12,51,0,0
"125",2011,12,52,0,0
"125",2011,12,53,0,0
"125",2012,1,1,0,0
"125",2012,1,2,0,0
"125",2012,1,3,4,2
"125",2012,1,4,0,0
"125",2012,1,5,0,0
"125",2012,2,5,0,0
"125",2012,2,6,0,0
"125",2012,2,7,0,0
"125",2012,2,8,11,2
"125",2012,2,9,0,0
"125",2012,3,9,0,0
"125",2012,3,10,0,0
"125",2012,3,11,0,0
"125",2012,4,16,30,1
"125",2012,4,17,253,5
"125",2012,5,18,265,12
"125",2012,5,19,146,8
"125",2012,5,20,168,5
"125",2012,8,32,63,2
"125",2012,9,38,0,0
"125",2012,9,39,0,0
"125",2012,9,40,0,0
"125",2012,10,40,0,0
"125",2012,10,41,0,0
"125",2012,11,47,0,0
"125",2012,11,48,0,0
"125",2012,12,48,0,0
"125",2012,12,49,0,0
"125",2012,12,50,0,0
"125",2012,12,51,0,0
"125",2012,12,52,0,0
"125",2012,12,53,0,0
"125",2013,1,1,0,0
"125",2013,1,2,94,2
"125",2013,1,3,119,6
"125",2013,1,4,0,0
"125",2013,1,5,0,0
"125",2013,2,5,0,0
"125",2013,2,6,11,2
"125",2013,2,7,0,0
"125",2013,2,8,0,0
"125",2013,2,9,0,0
"125",2013,3,9,0,0
"125",2013,3,10,11,1
"125",2013,3,11,2,1
"125",2013,4,17,28,8
"125",2013,4,18,0,0
"125",2013,5,18,24,2
"125",2013,5,19,0,0
"125",2013,5,20,0,0
"125",2013,9,37,63,6
"125",2013,9,38,104,9
"125",2013,9,39,0,0
"125",2013,10,40,0,0
"125",2013,10,41,0,0
"125",2013,11,45,0,0
"125",2013,11,46,0,0
"125",2013,11,47,0,0
"125",2013,11,48,0,0
"125",2013,12,48,0,0
"125",2013,12,49,0,0
"125",2013,12,50,0,0
"125",2013,12,51,0,0
"125",2013,12,52,0,0
"125",2013,12,53,0,0
"125",2014,1,1,0,0
"125",2014,1,2,0,0
"125",2014,1,3,0,0
"125",2014,1,4,0,0
"125",2014,1,5,0,0
"125",2014,2,5,0,0
"125",2014,2,6,0,0
"125",2014,2,7,0,0
"125",2014,2,8,0,0
"125",2014,2,9,0,0
"125",2014,3,9,0,0
"125",2014,3,10,14,1
"125",2014,3,11,0,0
"125",2014,4,16,123,3
"125",2014,4,17,290,15
"125",2014,4,18,0,0
"125",2014,5,18,118,10
"125",2014,5,19,55,5
"125",2014,5,20,742,19
"125",2014,5,21,174,13
"125",2014,5,22,0,0
"125",2014,7,30,1170,15
"125",2014,7,31,68,5
"125",2014,8,31,63,5
"125",2014,8,32,75,2
"125",2014,9,36,21,5
"125",2014,9,37,197,18
"125",2014,9,38,14,4
"125",2014,9,39,0,0
"125",2014,10,40,0,0
"125",2014,10,41,0,0
"125",2014,10,42,0,0
"125",2014,10,43,0,0
"125",2014,10,44,0,0
"125",2014,11,44,0,0
"125",2014,11,45,0,0
"125",2014,11,46,0,0
"125",2014,11,47,0,0
"125",2014,11,48,0,0
"125",2014,12,48,0,0
"125",2014,12,49,0,0
"125",2014,12,50,0,0
"125",2014,12,51,0,0
"125",2014,12,52,0,0
"125",2014,12,53,0,0
"125",2015,1,1,0,0
"125",2015,1,2,0,0
"125",2015,1,3,0,0
"125",2015,1,4,0,0
"125",2015,1,5,0,0
"125",2015,2,5,0,0
"125",2015,2,6,0,0
"125",2015,2,7,0,0
"125",2015,2,8,0,0
"125",2015,2,9,0,0
"125",2015,3,9,0,1
"125",2015,3,10,0,0
"125",2015,3,11,0,0
"125",2015,4,16,98,6
"125",2015,4,17,205,14
"125",2015,4,18,23,2
"125",2015,5,18,164,12
"125",2015,5,19,51,5
"125",2015,5,20,0,0
"125",2015,5,21,0,0
"125",2015,5,22,0,0
"125",2015,6,22,0,0
"125",2015,8,32,2687,16
"125",2015,9,37,2,1
"125",2015,9,38,0,1
"125",2015,9,39,0,0
"125",2015,10,40,0,0
"125",2015,10,41,0,0
"125",2015,10,42,0,0
"125",2015,10,43,0,0
"125",2015,10,44,0,0
"125",2015,11,44,0,0
"125",2015,11,45,0,0
"125",2015,11,46,0,0
"125",2015,11,47,0,0
"125",2015,11,48,0,0
"125",2015,12,48,0,0
"125",2015,12,49,0,0
"125",2015,12,50,0,0
"125",2015,12,51,0,0
"125",2015,12,52,0,0
"125",2015,12,53,0,0
"126",2007,1,1,0,0
"126",2007,1,2,1156,24
"126",2007,1,3,967,60
"126",2007,1,4,1072,39
"126",2007,1,5,1009,50
"126",2007,2,5,1018,52
"126",2007,2,6,171,17
"126",2007,2,7,23,3
"126",2007,2,8,278,22
"126",2007,2,9,134,11
"126",2007,3,9,264,17
"126",2007,3,10,8,1
"126",2007,3,11,77,11
"126",2007,3,12,256,22
"126",2007,3,13,374,31
"126",2007,4,13,18,2
"126",2007,4,14,39,12
"126",2007,4,15,234,51
"126",2007,4,16,609,48
"126",2007,4,17,162,29
"126",2007,4,18,90,9
"126",2007,5,18,161,31
"126",2007,5,19,135,20
"126",2007,5,20,123,22
"126",2007,5,21,914,52
"126",2007,5,22,727,39
"126",2007,6,22,573,22
"126",2007,6,23,1718,60
"126",2007,6,24,28,3
"126",2007,6,25,1095,27
"126",2007,9,38,298,28
"126",2007,9,39,287,19
"126",2007,10,42,91,9
"126",2007,10,43,386,11
"126",2008,1,3,388,44
"126",2008,1,4,500,41
"126",2008,1,5,109,13
"126",2008,2,5,154,21
"126",2008,2,6,82,13
"126",2008,2,7,332,28
"126",2008,2,8,370,43
"126",2008,2,9,127,13
"126",2008,3,9,0,0
"126",2008,4,16,111,19
"126",2008,4,17,909,91
"126",2008,4,18,178,18
"126",2008,5,18,207,39
"126",2008,5,19,268,43
"126",2008,5,20,247,38
"126",2008,5,21,421,30
"126",2008,5,22,665,58
"126",2008,6,22,347,21
"126",2008,6,23,387,37
"126",2008,6,24,141,22
"126",2008,8,31,80,4
"126",2008,8,32,77,2
"126",2008,9,36,1134,35
"126",2008,9,37,150,14
"126",2008,9,39,471,16
"126",2008,10,42,362,15
"126",2008,10,43,213,4
"126",2008,11,45,76,2
"126",2008,11,46,721,9
"126",2008,11,47,181,3
"126",2008,12,49,950,13
"126",2009,1,1,5,2
"126",2009,1,2,884,34
"126",2009,1,3,1236,96
"126",2009,1,4,493,51
"126",2009,1,5,101,11
"126",2009,2,5,49,9
"126",2009,2,6,223,31
"126",2009,2,7,234,47
"126",2009,2,8,245,36
"126",2009,2,9,35,8
"126",2009,3,9,1,1
"126",2009,3,10,279,46
"126",2009,3,11,182,32
"126",2009,4,16,277,25
"126",2009,4,17,1726,136
"126",2009,4,18,469,22
"126",2009,5,18,392,39
"126",2009,5,19,1247,111
"126",2009,5,20,491,46
"126",2009,5,21,442,40
"126",2009,6,22,160,11
"126",2009,6,23,528,29
"126",2009,8,32,326,17
"126",2010,4,16,745,33
"126",2010,4,17,2904,80
"126",2010,4,18,1456,25
"126",2010,5,18,3596,96
"126",2010,5,19,1062,50
"126",2010,5,20,427,12
"126",2010,5,21,121,6
"126",2010,6,22,343,10
"126",2010,6,23,809,22
"126",2010,8,31,742,16
"126",2010,9,39,796,15
"126",2010,10,40,588,8
"126",2011,1,1,0,0
"126",2011,2,8,619,27
"126",2011,2,9,697,27
"126",2011,3,9,89,7
"126",2011,3,10,663,34
"126",2011,3,11,51,2
"126",2011,4,16,2576,73
"126",2011,4,17,1567,53
"126",2011,5,18,8885,106
"126",2011,5,19,5415,123
"126",2011,5,20,2142,67
"126",2011,6,23,2370,43
"126",2011,6,24,615,6
"126",2011,7,30,3644,87
"126",2011,8,31,1500,23
"126",2011,11,46,18,2
"126",2011,11,47,22,2
"126",2011,11,48,0,0
"126",2011,12,48,24,2
"126",2011,12,49,45,6
"126",2011,12,50,39,3
"126",2011,12,51,0,0
"126",2011,12,52,0,0
"126",2011,12,53,0,0
"126",2012,1,1,0,0
"126",2012,1,2,23,2
"126",2012,1,3,56,2
"126",2012,1,4,0,0
"126",2012,1,5,0,0
"126",2012,2,5,0,0
"126",2012,2,6,21,1
"126",2012,2,7,196,7
"126",2012,2,8,48,2
"126",2012,2,9,0,0
"126",2012,3,9,43,6
"126",2012,3,10,113,14
"126",2012,3,11,28,1
"126",2012,4,16,581,20
"126",2012,4,17,7047,150
"126",2012,5,18,6524,200
"126",2012,5,19,959,38
"126",2012,5,20,4011,102
"126",2012,8,32,198,7
"126",2012,9,38,171,12
"126",2012,9,39,28,2
